index,teks,aspek,sentimen,waktu
10800,"sya sdh berlnggan swktu sya msih d sulawesi hmpir 4 thn, skrng sya menetap d crbon ttep pke maxim. Mff kmrin tnpA sengja k hpus jdi downld lgi",Umum,Positif,2024-12-30 03:30:21
10801,Salut...harga yg disepakati 8k..dibayar 7k karena ketingalan recehan 1k..tetap brg sampai cepat dan aman. saya hubungi katanya buat amal,Harga & Tarif,Positif,2024-12-30 03:27:07
10802,Salut...harga yg disepakati 8k..dibayar 7k karena ketingalan recehan 1k..tetap brg sampai cepat dan aman. saya hubungi katanya buat amal,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-12-30 03:27:07
10803,Salut...harga yg disepakati 8k..dibayar 7k karena ketingalan recehan 1k..tetap brg sampai cepat dan aman. saya hubungi katanya buat amal,Perilaku & Profesionalisme Driver,Positif,2024-12-30 03:27:07
10804,drivernya baik dan sopan,Perilaku & Profesionalisme Driver,Positif,2024-12-30 03:19:13
10805,mantaaap semangat pak gacooor teruuus,Umum,Positif,2024-12-30 03:12:47
10806,Tolong maxim di tindaklanjuti paket saya yg di bawa driver. Ini gak sekali duakali maxim bikin kecewa. Tapi yg kali ini beneran kelewatan. Tolong ya Maxim,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2024-12-30 03:12:19
10807,Tolong maxim di tindaklanjuti paket saya yg di bawa driver. Ini gak sekali duakali maxim bikin kecewa. Tapi yg kali ini beneran kelewatan. Tolong ya Maxim,Umum,Negatif,2024-12-30 03:12:19
10808,"maaf, belum pernah dg Maxim, blum ngert cara²nya",UI/UX Aplikasi (Tampilan/Desain),Negatif,2024-12-30 03:09:49
10809,"baik, dan ramah",Umum,Positif,2024-12-30 03:07:53
10810,pelayanan drivernya selalu kurang memuaskan,Perilaku & Profesionalisme Driver,Negatif,2024-12-30 03:04:47
10811,"ramah, pelayanan ok,, terimakasih 🙏🙏🙏",Perilaku & Profesionalisme Driver,Positif,2024-12-30 03:03:54
10812,"ramah, pelayanan ok,, terimakasih 🙏🙏🙏",Customer Service,Positif,2024-12-30 03:03:54
10813,mantap...sehat selalu pk .. biar nambah lagi rezeki nya.. Amin.,Umum,Positif,2024-12-30 02:55:00
10814,drivernya baik,Perilaku & Profesionalisme Driver,Positif,2024-12-30 02:54:02
10815,pelayanan bagus memuaskan 🤩🤩🤩,Umum,Positif,2024-12-30 02:52:29
10816,pelayanannya bagus,Umum,Positif,2024-12-30 02:42:01
10817,sangat ramah thnyou maxim,Perilaku & Profesionalisme Driver,Positif,2024-12-30 02:24:46
10818,pelayanan cukup baik di perjalanan gk jnuh setiap naek driver maxsim pasti di ajk ngobrol,Perilaku & Profesionalisme Driver,Positif,2024-12-30 02:13:48
10819,pelayanan cukup baik di perjalanan gk jnuh setiap naek driver maxsim pasti di ajk ngobrol,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-30 02:13:48
10820,ramah dan cepat,Perilaku & Profesionalisme Driver,Positif,2024-12-30 02:13:27
10821,ramah dan cepat,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-30 02:13:27
10822,sangat memuaskan,Umum,Positif,2024-12-30 02:12:07
10823,Mempermudah dalam perjalanan jauh,Umum,Positif,2024-12-30 02:01:58
10824,lancar dan cepat,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-30 01:38:51
10825,Saya naik maxim di apk ternyata ga sesuai titik. Trs sy dikasih harga transport 165.000 dengan jarak 22km . Padahal saya cek di apk maxim 86.500. Saya di sini merasa sangat dirugikan dengan oknum seperti ini. Memberi harga ngarang. Jauh banget 86.500 ke 165.000 Di perjalanan padahal bilangnya 150.000 Saya kasih uang 200.000 dikembalikan 35.000😭😭 Tggl 29/12/2024 Mohon keadilannya dan kejujuran ya pak supir,Akurasi GPS & Peta,Negatif,2024-12-30 01:30:07
10826,Saya naik maxim di apk ternyata ga sesuai titik. Trs sy dikasih harga transport 165.000 dengan jarak 22km . Padahal saya cek di apk maxim 86.500. Saya di sini merasa sangat dirugikan dengan oknum seperti ini. Memberi harga ngarang. Jauh banget 86.500 ke 165.000 Di perjalanan padahal bilangnya 150.000 Saya kasih uang 200.000 dikembalikan 35.000😭😭 Tggl 29/12/2024 Mohon keadilannya dan kejujuran ya pak supir,Harga & Tarif,Negatif,2024-12-30 01:30:07
10827,Saya naik maxim di apk ternyata ga sesuai titik. Trs sy dikasih harga transport 165.000 dengan jarak 22km . Padahal saya cek di apk maxim 86.500. Saya di sini merasa sangat dirugikan dengan oknum seperti ini. Memberi harga ngarang. Jauh banget 86.500 ke 165.000 Di perjalanan padahal bilangnya 150.000 Saya kasih uang 200.000 dikembalikan 35.000😭😭 Tggl 29/12/2024 Mohon keadilannya dan kejujuran ya pak supir,Perilaku & Profesionalisme Driver,Negatif,2024-12-30 01:30:07
10828,kendaraan baik dan nyaman berkendara aman sopir ramah,Kondisi Kendaraan Driver,Positif,2024-12-30 01:18:16
10829,kendaraan baik dan nyaman berkendara aman sopir ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-30 01:18:16
10830,Drivernya cepat dan tanggap.. Trima kasih 🙏🙏,Perilaku & Profesionalisme Driver,Positif,2024-12-30 01:17:43
10831,makasih ...abang nya baik ...,Perilaku & Profesionalisme Driver,Positif,2024-12-30 01:14:00
10832,Cepat Dan tepat,Umum,Positif,2024-12-30 01:10:54
10833,bagus cepat dan nyaman,Umum,Positif,2024-12-30 01:00:14
10834,respons cepat & pelayanan ramah,Customer Service,Positif,2024-12-30 00:59:02
10835,tepat waktu dan sangat ramah,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-30 00:33:22
10836,tepat waktu dan sangat ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-30 00:33:22
10837,tepat waktu jd aku kasih bintang 5,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-30 00:09:28
10838,"penjemputan cpt , driver nya jga ramah",Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 23:54:30
10839,"penjemputan cpt , driver nya jga ramah",Perilaku & Profesionalisme Driver,Positif,2024-12-29 23:54:30
10840,sangat membantu,Umum,Positif,2024-12-29 23:50:29
10841,"memang harganya terjangkau, tapi driver untuk mobil selalu drama. Jemputan yang deket pun dibilang jauh, terus mereka suka cancel cancel sembarang tanpa alasan yang jelas. Intinya ga ramah, cuma beberapa aja yang bisa ramah.",Harga & Tarif,Positif,2024-12-29 23:45:39
10842,"memang harganya terjangkau, tapi driver untuk mobil selalu drama. Jemputan yang deket pun dibilang jauh, terus mereka suka cancel cancel sembarang tanpa alasan yang jelas. Intinya ga ramah, cuma beberapa aja yang bisa ramah.",Pembatalan oleh Driver,Negatif,2024-12-29 23:45:39
10843,"memang harganya terjangkau, tapi driver untuk mobil selalu drama. Jemputan yang deket pun dibilang jauh, terus mereka suka cancel cancel sembarang tanpa alasan yang jelas. Intinya ga ramah, cuma beberapa aja yang bisa ramah.",Perilaku & Profesionalisme Driver,Negatif,2024-12-29 23:45:39
10844,bagus dan pelayaan baik,Umum,Positif,2024-12-29 23:28:35
10845,bagus dan pelayaan baik,Customer Service,Positif,2024-12-29 23:28:35
10846,"pelayanan keren tepat waktu, driver sopan dan ramah terimakasih maxim 🙏",Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 22:49:03
10847,"pelayanan keren tepat waktu, driver sopan dan ramah terimakasih maxim 🙏",Perilaku & Profesionalisme Driver,Positif,2024-12-29 22:49:03
10848,Driver nya ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-29 22:37:11
10849,tepat waktu drever ramah,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 22:35:21
10850,tepat waktu drever ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-29 22:35:21
10851,kalo mau pesan di lokasi tujuan tidak sesuai alamat tidak seperti gojek grab yang kalo pilih tujuan muncul lokasi tujuan,Akurasi GPS & Peta,Negatif,2024-12-29 22:32:48
10852,kalo mau pesan di lokasi tujuan tidak sesuai alamat tidak seperti gojek grab yang kalo pilih tujuan muncul lokasi tujuan,UI/UX Aplikasi (Tampilan/Desain),Negatif,2024-12-29 22:32:48
10853,alhamdulillah selalu nyaman dan aman selama perjalanan. terimakasih,Perilaku & Profesionalisme Driver,Positif,2024-12-29 19:46:46
10854,alhamdulillah selalu nyaman dan aman selama perjalanan. terimakasih,Umum,Positif,2024-12-29 19:46:46
10855,"sigap,sopan dan okelah",Perilaku & Profesionalisme Driver,Positif,2024-12-29 19:19:26
10856,"sigap,sopan dan okelah",Umum,Positif,2024-12-29 19:19:26
10857,penjemputan cepat,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 17:44:12
10858,driver sangat ramah .dan sampe tujuan,Perilaku & Profesionalisme Driver,Positif,2024-12-29 17:42:55
10859,Bersama Maxim perjalanan anda menjadi nyaman tampa hambatan,Umum,Positif,2024-12-29 17:24:57
10860,Sangat membantu kegiatan transportasi dan pengiriman barang,Umum,Positif,2024-12-29 17:10:25
10861,irit murah bgt top pokok nya,Harga & Tarif,Positif,2024-12-29 16:50:53
10862,irit murah bgt top pokok nya,Umum,Positif,2024-12-29 16:50:53
10863,driver ramah dan pelayanan sangat baik,Perilaku & Profesionalisme Driver,Positif,2024-12-29 16:36:59
10864,driver ramah dan pelayanan sangat baik,Customer Service,Positif,2024-12-29 16:36:59
10865,kerenlah Indra Sahputra itu bah...,Umum,Positif,2024-12-29 16:35:18
10866,belumm nyobaa tapii aku yakin ini okeee btw akuu tau maxim karnaa sempett kesekolahan dan nyaranin makaii aplikasi inii kalau mau kemana manaa,Umum,Positif,2024-12-29 16:25:52
10867,"pelayanan sangat baik , orangnya ramah dan sopan",Perilaku & Profesionalisme Driver,Positif,2024-12-29 15:45:27
10868,baik dan ramah terimakasih,Umum,Positif,2024-12-29 15:43:14
10869,cepat dan tepat,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 15:25:52
10870,cepat dan tepat,Akurasi GPS & Peta,Positif,2024-12-29 15:25:52
10871,Nyari driver food nya lama sekali mau di batali susah nian,Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 15:20:03
10872,Nyari driver food nya lama sekali mau di batali susah nian,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-12-29 15:20:03
10873,lebih murah dari yg Laen,Harga & Tarif,Positif,2024-12-29 15:10:30
10874,"sering di tolak, nunggunya lama, harga aman dkantong",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 15:08:25
10875,"sering di tolak, nunggunya lama, harga aman dkantong",Pembatalan oleh Driver,Negatif,2024-12-29 15:08:25
10876,"sering di tolak, nunggunya lama, harga aman dkantong",Harga & Tarif,Positif,2024-12-29 15:08:25
10877,tanggapan nya cepat 👍,Customer Service,Positif,2024-12-29 14:54:32
10878,sangat membantu,Umum,Positif,2024-12-29 14:44:16
10879,mas Maxim nya ok...... terimakasih 👍,Perilaku & Profesionalisme Driver,Positif,2024-12-29 14:42:27
10880,naikan harga kasihan ojolnya,Harga & Tarif,Positif,2024-12-29 14:35:56
10881,naikan harga kasihan ojolnya,Perilaku & Profesionalisme Driver,Positif,2024-12-29 14:35:56
10882,"Sedian fitur non cash melalui e wallet atau bank ,masa kalah Ama grab ,",Sistem Pembayaran & Promo,Negatif,2024-12-29 14:27:23
10883,abang nya baek,Perilaku & Profesionalisme Driver,Positif,2024-12-29 13:45:14
10884,"Kenapa ya kalo pake maxim mobil cari driver nya susah,,padahal jarak nya 2km an tapi pada gak mau ambil driver nya,, tolong dong di perbaiki lg maxim car nya",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 13:42:58
10885,driver sangat ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-29 13:42:15
10886,"tepat, aman dan terpercaya",Umum,Positif,2024-12-29 13:37:29
10887,sangat bagus drivernya,Perilaku & Profesionalisme Driver,Positif,2024-12-29 13:34:37
10888,ramah dan pelayanan cepat,Perilaku & Profesionalisme Driver,Positif,2024-12-29 13:30:01
10889,ramah dan pelayanan cepat,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 13:30:01
10890,"Saran aja agar lebih cepat dlm pencarian pengemudinya, Terima kasih...",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 13:23:18
10891,ojol nya sangat memuaskan,Umum,Positif,2024-12-29 13:16:52
10892,Maps sering tdk akurat...Tdk bs dihubungi via WA...,Akurasi GPS & Peta,Negatif,2024-12-29 13:12:45
10893,Maps sering tdk akurat...Tdk bs dihubungi via WA...,Customer Service,Negatif,2024-12-29 13:12:45
10894,sangat ramah sabar,Perilaku & Profesionalisme Driver,Positif,2024-12-29 13:07:26
10895,sangat membantu dalam proses perjalanan,Umum,Positif,2024-12-29 13:01:16
10896,bapaknya sangaat baik dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-29 13:00:00
10897,"Order telah dipenuhi oleh: Saputra Bima riski Saputra dengan Motorcycle, warna putih, nopol BH2137HX. Terima kasih atas perjalanan Anda! Rating ⭐⭐⭐⭐⭐(4.95)",Umum,Positif,2024-12-29 12:52:52
10898,baik dan ramah,Umum,Positif,2024-12-29 12:43:56
10899,pelayanan memuaskan,Umum,Positif,2024-12-29 12:36:19
10900,"Lokasi kota Duri pelayanan drivernya buruk buruk , kecewa sekali",Perilaku & Profesionalisme Driver,Negatif,2024-12-29 12:35:31
10901,drivernya baik sekali mantap,Perilaku & Profesionalisme Driver,Positif,2024-12-29 12:19:50
10902,drivernya baik sekali mantap,Umum,Positif,2024-12-29 12:19:50
10903,penjpitan cepat.,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 12:14:22
10904,ramah dan gercep,Perilaku & Profesionalisme Driver,Positif,2024-12-29 12:12:37
10905,ramah dan gercep,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 12:12:37
10906,trima kasih semoga tambah lancar .sehat selalu om hati hati di jalan,Umum,Positif,2024-12-29 12:08:21
10907,mbak nya baik dan ramah😍,Perilaku & Profesionalisme Driver,Positif,2024-12-29 12:07:25
10908,pelayanan memuaskan...,Umum,Positif,2024-12-29 12:05:10
10909,saya di antar dengan selamat kaka ini tolong di bantu trus ya smoga rejekinya lancar,Perilaku & Profesionalisme Driver,Positif,2024-12-29 11:58:36
10910,saya di antar dengan selamat kaka ini tolong di bantu trus ya smoga rejekinya lancar,Umum,Positif,2024-12-29 11:58:36
10911,"Maxim mobil di malang sombong"" padahal deket ongkosan 10.200 sudah tak tambahin jadi 12.200 tapi masih gak di ambil. Padahal drivernya deket"" semua. Ini tujuannya ke rumah sakit terdekat juga darurat malah diabaikan , lebih enak gojek sama grab gak mandang harga. Langsung di jemput. Orangnya enak"" juga Aplikasi tidak bergunaa , sdah banya driver tapi gak diambil Lebih enak gojek meskipun mahal tapi driver sangat ramah",Perilaku & Profesionalisme Driver,Negatif,2024-12-29 11:58:06
10912,"Maxim mobil di malang sombong"" padahal deket ongkosan 10.200 sudah tak tambahin jadi 12.200 tapi masih gak di ambil. Padahal drivernya deket"" semua. Ini tujuannya ke rumah sakit terdekat juga darurat malah diabaikan , lebih enak gojek sama grab gak mandang harga. Langsung di jemput. Orangnya enak"" juga Aplikasi tidak bergunaa , sdah banya driver tapi gak diambil Lebih enak gojek meskipun mahal tapi driver sangat ramah",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 11:58:06
10913,"Maxim mobil di malang sombong"" padahal deket ongkosan 10.200 sudah tak tambahin jadi 12.200 tapi masih gak di ambil. Padahal drivernya deket"" semua. Ini tujuannya ke rumah sakit terdekat juga darurat malah diabaikan , lebih enak gojek sama grab gak mandang harga. Langsung di jemput. Orangnya enak"" juga Aplikasi tidak bergunaa , sdah banya driver tapi gak diambil Lebih enak gojek meskipun mahal tapi driver sangat ramah",Harga & Tarif,Negatif,2024-12-29 11:58:06
10914,"Maxim mobil di malang sombong"" padahal deket ongkosan 10.200 sudah tak tambahin jadi 12.200 tapi masih gak di ambil. Padahal drivernya deket"" semua. Ini tujuannya ke rumah sakit terdekat juga darurat malah diabaikan , lebih enak gojek sama grab gak mandang harga. Langsung di jemput. Orangnya enak"" juga Aplikasi tidak bergunaa , sdah banya driver tapi gak diambil Lebih enak gojek meskipun mahal tapi driver sangat ramah",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-12-29 11:58:06
10915,bagus sekali. meskipun kadang suka bingung dengan lokasi koordinat tp memuaskan,Umum,Positif,2024-12-29 11:56:26
10916,bagus sekali. meskipun kadang suka bingung dengan lokasi koordinat tp memuaskan,Akurasi GPS & Peta,Negatif,2024-12-29 11:56:26
10917,Pelayanan bagus,Umum,Positif,2024-12-29 11:49:31
10918,sangat memuaskan,Umum,Positif,2024-12-29 11:34:44
10919,"pelayanan baik,cepat,ramah",Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 11:33:01
10920,"pelayanan baik,cepat,ramah",Perilaku & Profesionalisme Driver,Positif,2024-12-29 11:33:01
10921,pelayanannya mantap 🙏,Umum,Positif,2024-12-29 11:22:48
10922,"puas, aplgi bawa ortu gk trllu ngebut",Perilaku & Profesionalisme Driver,Positif,2024-12-29 11:10:21
10923,"puas, aplgi bawa ortu gk trllu ngebut",Umum,Positif,2024-12-29 11:10:21
10924,Mengesankan dan ramah drivernya,Perilaku & Profesionalisme Driver,Positif,2024-12-29 11:09:51
10925,ternyaman.. pokonya best lah,Umum,Positif,2024-12-29 11:06:01
10926,ramah dan penyabar,Perilaku & Profesionalisme Driver,Positif,2024-12-29 11:00:30
10927,kurirnya baik dan ramah...serta amanah..terimaksih,Perilaku & Profesionalisme Driver,Positif,2024-12-29 10:55:23
10928,Sangat membantu,Umum,Positif,2024-12-29 10:53:49
10929,"cocok utk pergi""seperti mengantar anak sekolah, ke tempat wisata, ataupun ke manapun",Umum,Positif,2024-12-29 10:49:42
10930,sangat baik dan ramah,Umum,Positif,2024-12-29 10:43:58
10931,nyaman dn bersih juga ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-29 10:40:30
10932,nyaman dn bersih juga ramah,Kondisi Kendaraan Driver,Positif,2024-12-29 10:40:30
10933,"Drivernya ramahramah dan sopan syekalii, saya sukaa.... terimakasihh telah mempermudah kamii ..",Perilaku & Profesionalisme Driver,Positif,2024-12-29 10:28:05
10934,"Drivernya ramahramah dan sopan syekalii, saya sukaa.... terimakasihh telah mempermudah kamii ..",Umum,Positif,2024-12-29 10:28:05
10935,Maxim Masa' kita top up saldo 10000 yang masuk cuma 8000. Kemana 2000 nya ? Tidak penjelasannya.,Sistem Pembayaran & Promo,Negatif,2024-12-29 10:23:07
10936,Maxim Masa' kita top up saldo 10000 yang masuk cuma 8000. Kemana 2000 nya ? Tidak penjelasannya.,Customer Service,Negatif,2024-12-29 10:23:07
10937,terimakasih... pelayanan bagus dan cepat,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 10:06:58
10938,terimakasih... pelayanan bagus dan cepat,Perilaku & Profesionalisme Driver,Positif,2024-12-29 10:06:58
10939,"bapaknya baik , tepat waktu , ramah",Perilaku & Profesionalisme Driver,Positif,2024-12-29 09:55:16
10940,nyaman dan pelayanan baik dari driver,Perilaku & Profesionalisme Driver,Positif,2024-12-29 09:54:57
10941,pak supir nya baik,Perilaku & Profesionalisme Driver,Positif,2024-12-29 09:49:25
10942,Apk nya kanpa bisa isi saldo tp ga bisa di pake apa² saldonya d tarik lg susah,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-12-29 09:45:29
10943,Apk nya kanpa bisa isi saldo tp ga bisa di pake apa² saldonya d tarik lg susah,Sistem Pembayaran & Promo,Negatif,2024-12-29 09:45:29
10944,minta tolong jaket sama helmnya dicuci donk,Kondisi Kendaraan Driver,Negatif,2024-12-29 09:26:51
10945,"driver ramah dan sopan, hanya jam tunggu nya harus extra sabar😵 aplikasi yang butuh banyak perbaikan.",Perilaku & Profesionalisme Driver,Positif,2024-12-29 09:22:51
10946,"driver ramah dan sopan, hanya jam tunggu nya harus extra sabar😵 aplikasi yang butuh banyak perbaikan.",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 09:22:51
10947,"driver ramah dan sopan, hanya jam tunggu nya harus extra sabar😵 aplikasi yang butuh banyak perbaikan.",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-12-29 09:22:51
10948,drivernya sangat baik dan sabar,Perilaku & Profesionalisme Driver,Positif,2024-12-29 09:17:54
10949,pelayanan ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-29 09:16:44
10950,ramah dan pelayanan oke,Perilaku & Profesionalisme Driver,Positif,2024-12-29 09:15:00
10951,ramah dan pelayanan oke,Customer Service,Positif,2024-12-29 09:15:00
10952,"bapak nyh baik,,,perlengkapan sangat lengkap terimakasih Maxim",Perilaku & Profesionalisme Driver,Positif,2024-12-29 08:49:23
10953,"bapak nyh baik,,,perlengkapan sangat lengkap terimakasih Maxim",Kondisi Kendaraan Driver,Positif,2024-12-29 08:49:23
10954,"Parah, lama sekali driver nya",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 08:36:00
10955,memyenang kan berpergian naik maxim,Umum,Positif,2024-12-29 08:35:33
10956,cepat sekali,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 08:34:15
10957,"Gak bisa kasih rating ke driver!!, mau ngasih rating eh taunya dah bintang 5 aja dan gak bisa diubah..",UI/UX Aplikasi (Tampilan/Desain),Negatif,2024-12-29 08:33:49
10958,"Gak bisa kasih rating ke driver!!, mau ngasih rating eh taunya dah bintang 5 aja dan gak bisa diubah..",Perilaku & Profesionalisme Driver,Negatif,2024-12-29 08:33:49
10959,bapaknya baik sekalii .. sopan 😍😍😍,Perilaku & Profesionalisme Driver,Positif,2024-12-29 08:25:52
10960,sangat memuaskan,Umum,Positif,2024-12-29 08:09:50
10961,"Ramah,Baik.. Pokoknya Mantap...👍👍",Umum,Positif,2024-12-29 08:00:19
10962,"Lebih diperbaikin dong petanya, kadangan sudah benar alamatnya malah titiknya melenceng banget,",Akurasi GPS & Peta,Negatif,2024-12-29 07:57:18
10963,bagus tepat waktu tpi gk tau keselamatan,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 07:55:18
10964,bagus tepat waktu tpi gk tau keselamatan,Perilaku & Profesionalisme Driver,Negatif,2024-12-29 07:55:18
10965,"Terlalu lama mencari driver nya , selalu ditolak",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 07:46:25
10966,"Terlalu lama mencari driver nya , selalu ditolak",Pembatalan oleh Driver,Negatif,2024-12-29 07:46:25
10967,"baik supirnya, terima kasih",Perilaku & Profesionalisme Driver,Positif,2024-12-29 07:44:11
10968,menyenangkan,Umum,Positif,2024-12-29 07:24:54
10969,pelayanan cepat dan driver handal,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 06:48:32
10970,pelayanan cepat dan driver handal,Perilaku & Profesionalisme Driver,Positif,2024-12-29 06:48:32
10971,tepat waktu jelas ☺☺ makasih makanan 👍👍👍,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-12-29 06:36:36
10972,tepat waktu jelas ☺☺ makasih makanan 👍👍👍,Umum,Positif,2024-12-29 06:36:36
10973,Selain murah cepat pula gerak nya,Harga & Tarif,Positif,2024-12-29 06:34:05
10974,Selain murah cepat pula gerak nya,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 06:34:05
10975,Mau log in aja ribet.. melampauo batas terus heran,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-12-29 06:30:27
10976,murah dan ramah recommended,Harga & Tarif,Positif,2024-12-29 06:28:16
10977,murah dan ramah recommended,Perilaku & Profesionalisme Driver,Positif,2024-12-29 06:28:16
10978,murah dan ramah recommended,Umum,Positif,2024-12-29 06:28:16
10979,driver na ramah dan sopan,Perilaku & Profesionalisme Driver,Positif,2024-12-29 06:21:03
10980,baik dan cepat sampai ditempat yg di tuju,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 06:13:45
10981,simple dan cepat tanggap,UI/UX Aplikasi (Tampilan/Desain),Positif,2024-12-29 05:53:47
10982,simple dan cepat tanggap,Kinerja Aplikasi (Error/Bug/Lambat),Positif,2024-12-29 05:53:47
10983,sangat cepat dan ramah,Ketersediaan Driver (Lama Menunggu),Positif,2024-12-29 05:50:12
10984,sangat cepat dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-12-29 05:50:12
10985,"Lama, sekali dapat drivernya rata2 jual mahal seolah2 gk butuh penumpang..",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 05:49:48
10986,"Lama, sekali dapat drivernya rata2 jual mahal seolah2 gk butuh penumpang..",Perilaku & Profesionalisme Driver,Negatif,2024-12-29 05:49:48
10987,sangat puas..driver sangat ramah...biarpun titik turun terlewat.. semoga sukses untuk maxim dan seluruh driver driver nya...,Perilaku & Profesionalisme Driver,Positif,2024-12-29 05:44:09
10988,sangat puas..driver sangat ramah...biarpun titik turun terlewat.. semoga sukses untuk maxim dan seluruh driver driver nya...,Akurasi GPS & Peta,Negatif,2024-12-29 05:44:09
10989,sangat puas..driver sangat ramah...biarpun titik turun terlewat.. semoga sukses untuk maxim dan seluruh driver driver nya...,Umum,Positif,2024-12-29 05:44:09
10990,mantap ramah aman,Umum,Positif,2024-12-29 05:39:42
10991,ramah dan baik,Perilaku & Profesionalisme Driver,Positif,2024-12-29 05:26:10
10992,pelayanan bagus,Umum,Positif,2024-12-29 05:06:19
10993,kurir nya baik sekali,Perilaku & Profesionalisme Driver,Positif,2024-12-29 05:06:14
10994,"terima kasih mas, semoga berkah dan sukses terus",Umum,Positif,2024-12-29 05:04:53
10995,sangat memuaskan,Umum,Positif,2024-12-29 04:59:21
10996,pelayanan sangat memuaskan,Umum,Positif,2024-12-29 04:42:36
10997,ramah baik tau jalan arah pokonya sangat bermanfaat,Perilaku & Profesionalisme Driver,Positif,2024-12-29 04:28:21
10998,ramah baik tau jalan arah pokonya sangat bermanfaat,Akurasi GPS & Peta,Positif,2024-12-29 04:28:21
10999,ramah baik tau jalan arah pokonya sangat bermanfaat,Umum,Positif,2024-12-29 04:28:21
11000,peta ny kurang lengkap...,Akurasi GPS & Peta,Negatif,2024-12-29 04:22:07
11001,ramah dan baik,Perilaku & Profesionalisme Driver,Positif,2024-12-29 04:15:48
11002,"Saya minta buru""karena jam meeting sudah mepet akhirnya saya gabisa ikut meeting tapi driver tidak mengerti malah dibuat lama ,itu sengaja apa gimana ya ? Tolong Maxim jangan memperkerjakan yg sudah lansia.",Ketersediaan Driver (Lama Menunggu),Negatif,2024-12-29 04:12:25
11003,"Saya minta buru""karena jam meeting sudah mepet akhirnya saya gabisa ikut meeting tapi driver tidak mengerti malah dibuat lama ,itu sengaja apa gimana ya ? Tolong Maxim jangan memperkerjakan yg sudah lansia.",Perilaku & Profesionalisme Driver,Negatif,2024-12-29 04:12:25
11004,"terima kasih bang,. semoga rejeki lancar & dipermudahkan segala urusan,. tambah berkah,. aamiin.",Umum,Positif,2024-12-29 04:09:10
11005,maxim oke dan mantap,Umum,Positif,2024-12-29 04:00:36
11006,pelayanannya Baik. asik perjalanannya,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-12-29 03:57:33
11007,pelayanannya Baik. asik perjalanannya,Umum,Positif,2024-12-29 03:57:33
11008,makasih pak telah membantu kami,Perilaku & Profesionalisme Driver,Positif,2024-12-29 03:53:45
